Grand Prix,Driver,Car,Time,Name Code
Italy,Carlos  Pace ,Brabham Ford,1:34.200,PAC
Canada,Niki  Lauda ,Ferrari,1:13.659,LAU
United States,Carlos  Pace ,Brabham Ford,1:40.608,PAC
Argentina,James  Hunt ,Hesketh Ford,1:50.910,HUN
Brazil,Jean-Pierre  Jarier ,Shadow Matra,2:34.160,JAR
South Africa,Carlos  Pace ,Brabham Ford,1:17.200,PAC
Spain,Mario  Andretti ,Parnelli Ford,1:25.100,AND
Monaco,Patrick  Depailler ,Tyrrell Ford,1:28.670,DEP
Belgium,Clay  Regazzoni ,Ferrari,1:26.760,REG
Sweden,Niki  Lauda ,Ferrari,1:28.267,LAU
Netherlands,Niki  Lauda ,Ferrari,1:21.540,LAU
France,Jochen  Mass ,McLaren Ford,1:50.600,MAS
Great Britain,Clay  Regazzoni ,Ferrari,1:20.900,REG
Germany,Clay  Regazzoni ,Ferrari,7:06.400,REG
Austria,Vittorio  Brambilla ,March Ford,1:53.900,BRA
Italy,Clay  Regazzoni ,Ferrari,1:33.100,REG
United States,Emerson  Fittipaldi ,McLaren Ford,1:43.374,FIT
Brazil,Jean-Pierre  Jarier ,Shadow Ford,2:35.070,JAR
South Africa,Niki  Lauda ,Ferrari,1:17.970,LAU
USA West,Clay  Regazzoni ,Ferrari,1:23.076,REG
Spain,Jochen  Mass ,McLaren Ford,1:20.930,MAS
Belgium,Niki  Lauda ,Ferrari,1:25.980,LAU
Monaco,Clay  Regazzoni ,Ferrari,1:30.280,REG
Sweden,Mario  Andretti ,Lotus Ford,1:28.002,AND
France,Niki  Lauda ,Ferrari,1:51.000,LAU
Great Britain,Niki  Lauda ,Ferrari,1:19.910,LAU
Germany,Jody  Scheckter ,Tyrrell Ford,7:10.800,SCH
