Grand Prix,Driver,Car,Time,Name Code
Bahrain,Max  Verstappen ,Red Bull Racing Honda,1:32.014,VER
Sakhir,George  Russell ,Mercedes,55.404,RUS
Abu Dhabi,Daniel  Ricciardo ,Renault,1:40.926,RIC
Bahrain,Valtteri  Bottas ,Mercedes,1:32.090,BOT
Emilia Romagna,Lewis  Hamilton ,Mercedes,1:16.702,HAM
Portugal,Valtteri  Bottas ,Mercedes,1:19.865,BOT
Spain,Max  Verstappen ,Red Bull Racing Honda,1:18.149,VER
Monaco,Lewis  Hamilton ,Mercedes,1:12.909,HAM
Azerbaijan,Max  Verstappen ,Red Bull Racing Honda,1:44.481,VER
France,Max  Verstappen ,Red Bull Racing Honda,1:36.404,VER
Styria,Lewis  Hamilton ,Mercedes,1:07.058,HAM
Austria,Max  Verstappen ,Red Bull Racing Honda,1:06.200,VER
Great Britain,Sergio  Perez ,Red Bull Racing Honda,1:28.617,PER
Hungary,Pierre  Gasly ,AlphaTauri Honda,1:18.394,GAS
Netherlands,Lewis  Hamilton ,Mercedes,1:11.097,HAM
Italy,Daniel  Ricciardo ,McLaren Mercedes,1:24.812,RIC
Russia,Lando  Norris ,McLaren Mercedes,1:37.423,NOR
Turkey,Valtteri  Bottas ,Mercedes,1:30.432,BOT
United States,Lewis  Hamilton ,Mercedes,1:38.485,HAM
Mexico,Valtteri  Bottas ,Mercedes,1:17.774,BOT
Brazil,Sergio  Perez ,Red Bull Racing Honda,1:11.010,PER
Qatar,Max  Verstappen ,Red Bull Racing Honda,1:23.196,VER
Saudi Arabia,Lewis  Hamilton ,Mercedes,1:30.734,HAM
Abu Dhabi,Max  Verstappen ,Red Bull Racing Honda,1:26.103,VER
Bahrain,Charles  Leclerc ,Ferrari,1:34.570,LEC
Saudi Arabia,Charles  Leclerc ,Ferrari,1:31.634,LEC
Australia,Charles  Leclerc ,Ferrari,1:20.260,LEC
Emilia Romagna,Max  Verstappen ,Red Bull Racing RBPT,1:18.446,VER
Miami,Max  Verstappen ,Red Bull Racing RBPT,1:31.361,VER
Spain,Sergio  Perez ,Red Bull Racing RBPT,1:24.108,PER
Monaco,Lando  Norris ,McLaren Mercedes,1:14.693,NOR
Azerbaijan,Sergio  Perez ,Red Bull Racing RBPT,1:46.046,PER
Canada,Carlos  Sainz ,Ferrari,1:15.749,SAI
Great Britain,Lewis  Hamilton ,Mercedes,1:30.510,HAM
Austria,Max  Verstappen ,Red Bull Racing RBPT,1:07.275,VER
France,Carlos  Sainz ,Ferrari,1:35.781,SAI
Hungary,Lewis  Hamilton ,Mercedes,1:21.386,HAM
Belgium,Max  Verstappen ,Red Bull Racing RBPT,1:49.354,VER
Netherlands,Max  Verstappen ,Red Bull Racing RBPT,1:13.652,VER
Italy,Sergio  Perez ,Red Bull Racing RBPT,1:24.030,PER
Singapore,George  Russell ,Mercedes,1:46.458,RUS
Japan,Zhou  Guanyu ,Alfa Romeo Ferrari,1:44.411,ZHO
United States,George  Russell ,Mercedes,1:38.788,RUS
Mexico,George  Russell ,Mercedes,1:20.153,RUS
Brazil,George  Russell ,Mercedes,1:13.785,RUS
Abu Dhabi,Lando  Norris ,McLaren Mercedes,1:28.391,NOR
Bahrain,Zhou  Guanyu ,Alfa Romeo Ferrari,1:33.996,ZHO
Saudi Arabia,Max  Verstappen ,Red Bull Racing Honda RBPT,1:31.906,VER
Australia,Sergio  Perez ,Red Bull Racing Honda RBPT,1:20.235,PER
Azerbaijan,George  Russell ,Mercedes,1:43.370,RUS
Miami,Max  Verstappen ,Red Bull Racing Honda RBPT,1:29.708,VER
Monaco,Lewis  Hamilton ,Mercedes,1:15.650,HAM
Spain,Max  Verstappen ,Red Bull Racing Honda RBPT,1:16.330,VER
Canada,Sergio  Perez ,Red Bull Racing Honda RBPT,1:14.481,PER
Austria,Max  Verstappen ,Red Bull Racing Honda RBPT,1:07.012,VER
Great Britain,Max  Verstappen ,Red Bull Racing Honda RBPT,1:30.275,VER
Hungary,Max  Verstappen ,Red Bull Racing Honda RBPT,1:20.504,VER
Belgium,Lewis  Hamilton ,Mercedes,1:47.305,HAM
Netherlands,Fernando  Alonso ,Aston Martin Aramco Mercedes,1:13.837,ALO
Italy,Oscar  Piastri ,McLaren Mercedes,1:25.072,PIA
Singapore,Lewis  Hamilton ,Mercedes,1:35.867,HAM
Japan,Max  Verstappen ,Red Bull Racing Honda RBPT,1:34.183,VER
Qatar,Max  Verstappen ,Red Bull Racing Honda RBPT,1:24.319,VER
United States,Yuki  Tsunoda ,AlphaTauri Honda RBPT,1:38.139,TSU
Mexico,Lewis  Hamilton ,Mercedes,1:21.334,HAM
Brazil,Lando  Norris ,McLaren Mercedes,1:12.486,NOR
Las Vegas,Oscar  Piastri ,McLaren Mercedes,1:35.490,PIA
Abu Dhabi,Max  Verstappen ,Red Bull Racing Honda RBPT,1:26.993,VER
Bahrain,Max  Verstappen ,Red Bull Racing Honda RBPT,1:32.608,VER
Saudi Arabia,Charles  Leclerc ,Ferrari,1:31.632,LEC
Australia,Charles  Leclerc ,Ferrari,1:19.813,LEC
Japan,Max  Verstappen ,Red Bull Racing Honda RBPT,1:33.706,VER
China,Fernando  Alonso ,Aston Martin Aramco Mercedes,1:37.810,ALO
Miami,Oscar  Piastri ,McLaren Mercedes,1:30.634,PIA
